name,slug,category,rating,Administration | Mobile compatibility,Administration | White-labeling,Assessment delivery | Pre-made content,Assessment delivery | Question variety,Assessment delivery | Real-time assessment,Audience Engagement | Quizzes,Engagement Analytics | Dashboards & Reporting,Engagement Analytics | Live Results,Grading and reporting | Analytics dashboard,Grading and reporting | Gamification,Platform Features | Instant Messaging,Platform Features | Interactive Quizzes,Platform Features | Remote Computer Monitoring,Platform Features | Student Assignment Distribution,Platform Features | Teacher/Student Screensharing
Zoom Workplace,zoom-workplace,Virtual Classroom,4.5,,,,,,,,,,,,,,,
Speexx,speexx,Virtual Classroom,4.6,,,,,,,,,,,,,,,
Echo360,echo360,Assessment,4.3,,,,,,88.0,78.0,94.0,,,,,,,
iSpring Suite,ispring-suite,Assessment,4.6,84.0,87.0,83.0,90.0,86.0,,,,77.0,79.0,,,,,
Kahoot!,kahoot,Assessment,4.6,93.0,77.0,88.0,90.0,96.0,97.0,93.0,96.0,91.0,96.0,,,,,
Mentimeter,mentimeter,Assessment,4.7,92.0,77.0,82.0,88.0,95.0,92.0,88.0,95.0,86.0,86.0,,,,,
Dyknow Classroom,dyknow-classroom,Classroom Management,4.6,,,,,,,,,,,90.0,81.0,97.0,82.0,88.0
ClassDojo,classdojo,Classroom Management,4.5,,,,,,,,,,,92.0,74.0,86.0,82.0,85.0
LanSchool,lanschool,Classroom Management,4.2,,,,,,,,,,,84.0,78.0,87.0,81.0,88.0
Lumio,smart-technologies-lumio,Classroom Management,4.8,92.0,82.0,86.0,91.0,95.0,,,,80.0,93.0,81.0,92.0,89.0,93.0,94.0
Brainscape,brainscape,Study Tools,4.6,,,,,,,,,,,,,,,
Quizlet,quizlet,Study Tools,4.5,,,,,,,,,,,,,,,
Quizizz,quizizz,Study Tools,4.9,,,,,,88.0,90.0,95.0,,,,,,,
SchoolStatus,schoolstatus,Classroom Messaging,4.9,,,,,,,,,,,,,,,
TalkingPoints,talkingpoints,Classroom Messaging,4.8,,,,,,,,,,,,,,,
ParentSquare,parentsquare,Classroom Messaging,4.3,,,,,,,,,,,,,,,
